0 train f1,0 val f1,1 train f1,1 val f1,2 train f1,2 val f1,3 train f1,3 val f1,epoch,step
,0.7490494251251221,,0.6972476840019226,,0.8333333134651184,,0.8983050584793091,34,6054
0.7356415390968323,,0.7235877513885498,,0.946835458278656,,0.9941176176071167,,34,6054
,0.7092906832695007,,0.6875,,0.8413792848587036,,0.9075630307197571,35,6227
0.7393791079521179,,0.7291576862335205,,0.9543147087097168,,0.9912023544311523,,35,6227
,0.74643874168396,,0.7055702805519104,,0.8368794322013855,,0.8983050584793091,36,6400
0.7408923506736755,,0.7353191375732422,,0.9478908181190491,,0.9970674514770508,,36,6400
,0.7619926333427429,,0.7014725804328918,,0.8333333134651184,,0.9075630307197571,37,6573
0.7468198537826538,,0.7381567358970642,,0.9549999833106995,,0.9941176176071167,,37,6573
,0.6332218647003174,,0.671999990940094,,0.8391608595848083,,0.9075630307197571,38,6746
0.7408611178398132,,0.7337942719459534,,0.9502487778663635,,0.9941176176071167,,38,6746
,0.8113998174667358,,0.6827697157859802,,0.8333333134651184,,0.8983050584793091,39,6919
0.7447422742843628,,0.7437100410461426,,0.9573934674263,,0.9970674514770508,,39,6919
,0.7438330054283142,,0.7022472023963928,,0.8333333134651184,,0.8983050584793091,40,7092
0.7501019239425659,,0.7349240779876709,,0.9518987536430359,,0.9970845580101013,,40,7092
,0.6551351547241211,,0.6744186282157898,,0.8413792848587036,,0.8983050584793091,41,7265
0.742622971534729,,0.7416309118270874,,0.9573934674263,,0.9970674514770508,,41,7265
,0.6812045574188232,,0.6636771559715271,,0.8368794322013855,,0.8983050584793091,42,7438
0.7476559281349182,,0.7432721257209778,,0.9576059579849243,,1.0,,42,7438
,0.7442747950553894,,0.69520103931427,,0.8333333134651184,,0.9075630307197571,43,7611
0.7557565569877625,,0.7451984882354736,,0.9545454382896423,,0.9882352948188782,,43,7611
,0.7213438749313354,,0.7084468603134155,,0.8391608595848083,,0.9075630307197571,44,7784
0.7489845752716064,,0.7375643253326416,,0.9543147087097168,,0.9970674514770508,,44,7784
,0.7859078645706177,,0.7115384340286255,,0.8413792848587036,,0.8983050584793091,45,7957
0.742671012878418,,0.7323579788208008,,0.9622166156768799,,0.9941176176071167,,45,7957
,0.7283464670181274,,0.6838868260383606,,0.8321167826652527,,0.8983050584793091,46,8130
0.7488734126091003,,0.7382779121398926,,0.96517413854599,,1.0,,46,8130
