epoch,step,test F1 Score,test_loss,training F1 Score_epoch,training F1 Score_step,training_loss_epoch,training_loss_step,validation F1 Score,validation_loss
0,49,,,,0.07777777314186096,,0.49017712473869324,,
0,99,,,,0.1339285671710968,,0.38839447498321533,,
0,149,,,,0.1458333283662796,,0.39330437779426575,,
0,199,,,,0.3193277418613434,,0.33680641651153564,,
0,249,,,,0.3032679855823517,,0.37868058681488037,,
0,278,,,,,,,0.0,0.3251192569732666
0,278,,,0.21153800189495087,,0.44040098786354065,,,
1,299,,,,0.17307692766189575,,0.34673872590065,,
1,349,,,,0.2731092572212219,,0.40412941575050354,,
1,399,,,,0.3571428656578064,,0.2664700746536255,,
1,449,,,,0.2440476417541504,,0.3306325376033783,,
1,499,,,,0.24444442987442017,,0.3837059438228607,,
1,549,,,,0.29411765933036804,,0.3179130554199219,,
1,557,,,,,,,0.006318678148090839,0.317922443151474
1,557,,,0.22506766021251678,,0.35491737723350525,,,
2,599,,,,0.37370243668556213,,0.3727397322654724,,
2,649,,,,0.2678571343421936,,0.27782681584358215,,
2,699,,,,0.2857142984867096,,0.2919635772705078,,
2,749,,,,0.09259259700775146,,0.36894989013671875,,
2,799,,,,0.1538461595773697,,0.3579111397266388,,
2,836,,,,,,,0.23745334148406982,0.3285970389842987
2,836,,,0.2309015989303589,,0.3384222090244293,,,
3,849,,,,0.19004523754119873,,0.3019467890262604,,
3,899,,,,0.3005847930908203,,0.42170244455337524,,
3,949,,,,0.16842107474803925,,0.32931557297706604,,
3,999,,,,0.4767801761627197,,0.24504876136779785,,
3,1049,,,,0.24561405181884766,,0.3970406949520111,,
3,1099,,,,0.13235294818878174,,0.3471267819404602,,
3,1115,,,,,,,0.2916065454483032,0.30521976947784424
3,1115,,,0.22697202861309052,,0.3298201858997345,,,
4,1149,,,,0.23529411852359772,,0.3308538496494293,,
4,1199,,,,0.05882352963089943,,0.3462691009044647,,
4,1249,,,,0.29629629850387573,,0.2951620817184448,,
4,1299,,,,0.18803419172763824,,0.3650515079498291,,
4,1349,,,,0.10084034502506256,,0.3542676568031311,,
4,1394,,,,,,,0.29124557971954346,0.2971477806568146
4,1394,,,0.21952621638774872,,0.3251132071018219,,,
5,1399,,,,0.10526315867900848,,0.43427690863609314,,
5,1449,,,,0.36315789818763733,,0.314561128616333,,
5,1499,,,,0.31141871213912964,,0.3361995816230774,,
5,1549,,,,0.11538462340831757,,0.2913244366645813,,
5,1599,,,,0.3321799337863922,,0.3038598299026489,,
5,1649,,,,0.22875818610191345,,0.2922135591506958,,
5,1673,,,,,,,0.2929452657699585,0.2900727093219757
5,1673,,,0.24599935114383698,,0.31533387303352356,,,
6,1699,,,,0.250980406999588,,0.2749113142490387,,
6,1749,,,,0.4375,,0.20460918545722961,,
6,1799,,,,0.3333333432674408,,0.33983492851257324,,
6,1849,,,,0.4761904776096344,,0.2260030210018158,,
6,1899,,,,0.1538461595773697,,0.3253471851348877,,
6,1949,,,,0.5561497807502747,,0.178982213139534,,
6,1952,,,,,,,0.29523521661758423,0.2846067547798157
6,1952,,,0.25403881072998047,,0.3075284957885742,,,
7,1999,,,,0.2666666805744171,,0.26973864436149597,,
7,2049,,,,0.30882352590560913,,0.321652352809906,,
7,2099,,,,0.4117647111415863,,0.2535117566585541,,
7,2149,,,,0.2760416567325592,,0.3108869791030884,,
7,2199,,,,0.23529411852359772,,0.32733792066574097,,
7,2231,,,,,,,0.3295309245586395,0.28268855810165405
7,2231,,,0.26800212264060974,,0.30137404799461365,,,
8,2249,,,,0.1666666716337204,,0.3057175874710083,,
8,2299,,,,0.1666666716337204,,0.28141504526138306,,
8,2349,,,,0.25735294818878174,,0.25402408838272095,,
8,2399,,,,0.2352941334247589,,0.22373458743095398,,
8,2449,,,,0.359477162361145,,0.26565495133399963,,
8,2499,,,,0.3303571343421936,,0.27856576442718506,,
8,2510,,,,,,,0.3350387513637543,0.2844183146953583
8,2510,,,0.2707664966583252,,0.2961522340774536,,,
9,2549,,,,0.5,,0.24794305860996246,,
9,2599,,,,0.45012786984443665,,0.20705312490463257,,
9,2649,,,,0.18300653994083405,,0.29839277267456055,,
9,2699,,,,0.2750000059604645,,0.31232672929763794,,
9,2749,,,,0.14705882966518402,,0.3325786292552948,,
9,2789,,,,,,,0.34051281213760376,0.28057193756103516
9,2789,,,0.28235647082328796,,0.29476556181907654,,,
10,2799,,,,0.08627451211214066,,0.2975098788738251,,
10,2849,,,,0.2906574308872223,,0.27332109212875366,,
10,2899,,,,0.3515625,,0.2566458582878113,,
10,2949,,,,0.15126049518585205,,0.29625555872917175,,
10,2999,,,,0.3375000059604645,,0.28184419870376587,,
10,3049,,,,0.2734375,,0.30130094289779663,,
10,3068,,,,,,,0.33822786808013916,0.27567920088768005
10,3068,,,0.29288250207901,,0.29030242562294006,,,
11,3099,,,,0.23863637447357178,,0.2890876233577728,,
11,3149,,,,0.3333333432674408,,0.24302047491073608,,
11,3199,,,,0.5625,,0.2510146498680115,,
11,3249,,,,0.3375000059604645,,0.2573728561401367,,
11,3299,,,,0.1071428656578064,,0.31126391887664795,,
11,3347,,,,,,,0.33974170684814453,0.27419134974479675
11,3347,,,0.2980806827545166,,0.28576773405075073,,,
12,3349,,,,0.16289593279361725,,0.3102273941040039,,
12,3399,,,,0.1428571343421936,,0.2916039824485779,,
12,3449,,,,0.49824559688568115,,0.2311612367630005,,
12,3499,,,,0.20588235557079315,,0.3026910424232483,,
12,3549,,,,0.45000001788139343,,0.2294551134109497,,
12,3599,,,,0.2689075767993927,,0.29954880475997925,,
12,3626,,,,,,,0.38921183347702026,0.2648952007293701
12,3626,,,0.31255030632019043,,0.28146877884864807,,,
13,3649,,,,0.5665634870529175,,0.2461450845003128,,
13,3699,,,,0.3515625,,0.2211550772190094,,
13,3749,,,,0.4444444477558136,,0.24223054945468903,,
13,3799,,,,0.3333333432674408,,0.29599231481552124,,
13,3849,,,,0.3601190745830536,,0.2536046802997589,,
13,3899,,,,0.317307710647583,,0.2363022267818451,,
13,3905,,,,,,,0.388549268245697,0.26314887404441833
13,3905,,,0.3151196539402008,,0.2794802188873291,,,
14,3949,,,,0.23529411852359772,,0.2815130949020386,,
