0 train f1,0 val f1,1 train f1,1 val f1,2 train f1,2 val f1,3 train f1,3 val f1,epoch,step,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,0.14218010008335114,,0.1788235306739807,,0.7519999742507935,,0.6813187003135681,0,172,,,,0.43858057260513306,0.36542144417762756,0.4017467200756073
0.37122002243995667,,0.4342745840549469,,0.5146579742431641,,0.32407405972480774,,0,172,0.41105666756629944,0.46187976002693176,0.42000216245651245,,,
,0.12600968778133392,,0.5511265397071838,,0.7540983557701111,,0.8571428656578064,1,345,,,,0.5720943808555603,0.5634578466415405,0.3849135637283325
0.45987799763679504,,0.5022183060646057,,0.8291457295417786,,0.8155339956283569,,1,345,0.6516939997673035,0.5778703093528748,0.35915374755859375,,,
,0.4444444477558136,,0.5520974397659302,,0.7727272510528564,,0.84375,2,518,,,,0.6532548069953918,0.5981800556182861,0.348309725522995
0.5395308136940002,,0.5626859068870544,,0.8217054009437561,,0.8814589381217957,,2,518,0.7013452649116516,0.642068088054657,0.3439882695674896,,,
,0.6158536672592163,,0.58918297290802,,0.7941176295280457,,0.8666666746139526,3,691,,,,0.7164552211761475,0.6968390941619873,0.3321150839328766
0.575273334980011,,0.5698080062866211,,0.8051282167434692,,0.8753799200057983,,3,691,0.7063973546028137,0.6661535501480103,0.337512731552124,,,
,0.6569485068321228,,0.5729877352714539,,0.8115941882133484,,0.8571428656578064,4,864,,,,0.7246683239936829,0.7126436829566956,0.3114427328109741
0.5974025726318359,,0.5951674580574036,,0.8358209133148193,,0.8571428656578064,,4,864,0.7213834524154663,0.6959434747695923,0.33196818828582764,,,
,0.7384615540504456,,0.6323529481887817,,0.800000011920929,,0.8333333134651184,5,1037,,,,0.7510369420051575,0.751197338104248,0.3028549551963806
0.6595576405525208,,0.6088129281997681,,0.8644501566886902,,0.9053254723548889,,5,1037,0.7595365643501282,0.7329772114753723,0.304075688123703,,,
,0.7748031616210938,,0.5435540080070496,,0.796875,,0.7835051417350769,6,1210,,,,0.7246842980384827,0.7710728049278259,0.301932156085968
0.6796875,,0.62386155128479,,0.8571428656578064,,0.9080118536949158,,6,1210,0.7671759724617004,0.7455632090568542,0.2960377335548401,,,
,0.6329113841056824,,0.6182618141174316,,0.7883211970329285,,0.8702290058135986,7,1383,,,,0.7274308204650879,0.7215038537979126,0.33358117938041687
0.6828891634941101,,0.6377596855163574,,0.8556700944900513,,0.9166666865348816,,7,1383,0.7732464075088501,0.7496378421783447,0.28965380787849426,,,
,0.7411865592002869,,0.5867895483970642,,0.8344370722770691,,0.7920792102813721,8,1556,,,,0.7386230826377869,0.765325665473938,0.2894907295703888
0.708442747592926,,0.6267672181129456,,0.8797953724861145,,0.9154518842697144,,8,1556,0.7826142907142639,0.7662984132766724,0.27639150619506836,,,
,0.7428057789802551,,0.6354609727859497,,0.8085106611251831,,0.8461538553237915,9,1729,,,,0.758232831954956,0.7772988677024841,0.2959190309047699
0.7152066826820374,,0.6533642411231995,,0.8673469424247742,,0.9341317415237427,,9,1729,0.7925124168395996,0.7743571400642395,0.27356183528900146,,,
,0.7885985970497131,,0.4399999976158142,,0.8088235259056091,,0.6373626589775085,10,1902,,,,0.6686961650848389,0.7550287246704102,0.34563562273979187
0.7349081635475159,,0.6669797897338867,,0.8944723606109619,,0.9618768095970154,,10,1902,0.814559280872345,0.7898406386375427,0.2561005651950836,,,
,0.7424931526184082,,0.6468085050582886,,0.7596899271011353,,0.875,11,2075,,,,0.755997896194458,0.7801724076271057,0.2951841652393341
0.7507529854774475,,0.6852551698684692,,0.8989899158477783,,0.898809552192688,,11,2075,0.8084518909454346,0.7980803847312927,0.25402915477752686,,,
,0.7974379658699036,,0.625,,0.796875,,0.9075630307197571,12,2248,,,,0.7817189693450928,0.8062739372253418,0.2785421311855316
0.7474441528320312,,0.701165497303009,,0.9100000262260437,,0.9356725215911865,,12,2248,0.8235705494880676,0.8071351051330566,0.24557900428771973,,,
,0.521327018737793,,0.6079836487770081,,0.7808219194412231,,0.9090909361839294,13,2421,,,,0.704805850982666,0.6891762614250183,0.35220596194267273
0.7716653943061829,,0.7240411639213562,,0.8928571343421936,,0.9677419066429138,,13,2421,0.8390763998031616,0.8227996826171875,0.2317979484796524,,,
,0.6666666865348816,,0.640625,,0.7612903118133545,,0.8983050584793091,14,2594,,,,0.7417217493057251,0.7365900278091431,0.32152944803237915
0.7627443671226501,,0.7185461521148682,,0.9122806787490845,,0.9526627063751221,,14,2594,0.83655846118927,0.8160086870193481,0.22885116934776306,,,
,0.7515695095062256,,0.6470588445663452,,0.8296296000480652,,0.9059829115867615,15,2767,,,,0.7835602164268494,0.7873563170433044,0.27625682950019836
0.79374760389328,,0.7442502379417419,,0.9104477763175964,,0.9408283829689026,,15,2767,0.8473185300827026,0.8360195755958557,0.2187098264694214,,,
,0.7269503474235535,,0.6000000238418579,,0.8029196858406067,,0.8169013857841492,16,2940,,,,0.7366928458213806,0.7598180174827576,0.33397066593170166
0.8066511750221252,,0.7756584882736206,,0.9376558661460876,,0.9824561476707458,,16,2940,0.8756054043769836,0.8558493256568909,0.19856427609920502,,,
,0.7876182198524475,,0.6573208570480347,,0.8026315569877625,,0.8780487775802612,17,3113,,,,0.7814048528671265,0.8053160905838013,0.28926190733909607
0.8080094456672668,,0.7735004425048828,,0.9353233575820923,,0.9734513163566589,,17,3113,0.8725711703300476,0.8526802062988281,0.19268712401390076,,,
,0.7929373979568481,,0.6180555820465088,,0.7894737124443054,,0.8780487775802612,18,3286,,,,0.7696288824081421,0.8057950139045715,0.3295856714248657
0.8397185206413269,,0.8105451464653015,,0.9330024719238281,,0.991253674030304,,18,3286,0.8936299681663513,0.8777616620063782,0.1688193827867508,,,
,0.6507276296615601,,0.6255707740783691,,0.8030303120613098,,0.8983050584793091,19,3459,,,,0.7444084286689758,0.7380267977714539,0.3644375503063202
0.8242710828781128,,0.8007085919380188,,0.9402984976768494,,0.9853372573852539,,19,3459,0.8876538276672363,0.8692502975463867,0.17993327975273132,,,
,0.7715996503829956,,0.6188197731971741,,0.8137931227684021,,0.8484848737716675,20,3632,,,,0.7631743550300598,0.7919061183929443,0.3645249903202057
0.8515406250953674,,0.834782600402832,,0.9556650519371033,,0.9732937812805176,,20,3632,0.9038205146789551,0.888627290725708,0.153504878282547,,,
,0.7781456708908081,,0.6070287823677063,,0.7851851582527161,,0.8983050584793091,21,3805,,,,0.7671661972999573,0.7962164878845215,0.3377171754837036
0.8783783912658691,,0.8638538718223572,,0.9552238583564758,,0.9709302186965942,,21,3805,0.9170966148376465,0.9090909361839294,0.1395663321018219,,,
,0.6801932454109192,,0.6133333444595337,,0.7878788113594055,,0.8085106611251831,22,3978,,,,0.722478985786438,0.7456896305084229,0.3670896887779236
0.8914100527763367,,0.8827822804450989,,0.9658536314964294,,0.9882352948188782,,22,3978,0.9320703148841858,0.9211336374282837,0.12129146605730057,,,
,0.7187206149101257,,0.6376811861991882,,0.7814569473266602,,0.8849557638168335,23,4151,,,,0.7557036280632019,0.7686781883239746,0.42674583196640015
0.8963562846183777,,0.8854568600654602,,0.9533169269561768,,0.9793510437011719,,23,4151,0.9286202788352966,0.9219485521316528,0.1132112592458725,,,
,0.7404718399047852,,0.6553191542625427,,0.7714285850524902,,0.9059829115867615,24,4324,,,,0.7683006525039673,0.7828065156936646,0.45676204562187195
0.9269685745239258,,0.9168081283569336,,0.970588207244873,,0.9882352948188782,,24,4324,0.9506500363349915,0.944313645362854,0.08963195234537125,,,
,0.7182835936546326,,0.6357616186141968,,0.800000011920929,,0.8965517282485962,25,4497,,,,0.7626492381095886,0.7725095748901367,0.5115824341773987
0.910728931427002,,0.9084745645523071,,0.9605911374092102,,0.9854227304458618,,25,4497,0.9413043260574341,0.9365265965461731,0.10211886465549469,,,
