0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step,test cost,test multilabel_f1_macro,test ranking_avg_precision,train cost,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val cost,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,0.848372757434845,,,0.8133971095085144,,,0.9177718758583069,,,0.9624999761581421,,25,571,,,,28464.0,0.8855104446411133,0.8741397857666016,0.19912594556808472,,,,
,,0.6540447473526001,,,0.7023411393165588,,,0.8539325594902039,,,0.9041095972061157,26,593,,,,,,,,6959.0,0.7786070108413696,0.7576087117195129,0.30655351281166077
,0.8482207655906677,,,0.8029339909553528,,,0.9319371581077576,,,0.96875,,26,593,,,,28855.0,0.8879604935646057,0.8734154105186462,0.19507114589214325,,,,
,,0.7324749827384949,,,0.6666666865348816,,,0.8913043737411499,,,0.931506872177124,27,615,,,,,,,,6567.0,0.8054882287979126,0.7862318754196167,0.3052930533885956
,0.8475203514099121,,,0.8049713373184204,,,0.9193548560142517,,,0.9620253443717957,,27,615,,,,28580.0,0.883467972278595,0.8701557517051697,0.19619446992874146,,,,
,,0.7599486708641052,,,0.593406617641449,,,0.8636363744735718,,,0.8888888955116272,28,637,,,,,,,,5989.0,0.7764701247215271,0.7829710245132446,0.3415035605430603
,0.866470992565155,,,0.8288719058036804,,,0.9386666417121887,,,0.9685534834861755,,28,637,,,,29665.0,0.9006407856941223,0.888627290725708,0.17953598499298096,,,,
,,0.616216242313385,,,0.6939393877983093,,,0.9032257795333862,,,0.9166666865348816,29,659,,,,,,,,7193.0,0.7825120091438293,0.7539855241775513,0.32600221037864685
,0.8680757880210876,,,0.8256880640983582,,,0.9230769276618958,,,0.96875,,29,659,,,,29533.0,0.8963977098464966,0.8870880007743835,0.180555060505867,,,,
,,0.7278287410736084,,,0.6908462643623352,,,0.8636363744735718,,,0.931506872177124,30,681,,,,,,,,7005.0,0.803454577922821,0.7884057760238647,0.30518627166748047
,0.8681318759918213,,,0.8350266218185425,,,0.936170220375061,,,0.9693251252174377,,30,681,,,,30153.0,0.9021634459495544,0.8895328044891357,0.17316414415836334,,,,
,,0.7667086720466614,,,0.5721153616905212,,,0.8695651888847351,,,0.931506872177124,31,703,,,,,,,,6086.0,0.7849740386009216,0.7865942120552063,0.3483979403972626
,0.8592429161071777,,,0.8175740242004395,,,0.9268292784690857,,,0.9753086566925049,,31,703,,,,29999.0,0.8947387337684631,0.8824701309204102,0.17556977272033691,,,,
0.7022696733474731,,,0.7219251394271851,,,0.8909090757369995,,,0.9607843160629272,,,32,704,8280.0,0.8189720511436462,0.7902665138244629,,,,,,,,
