epoch,step,test F1 Score,test_loss,training F1 Score_epoch,training F1 Score_step,training_loss_epoch,training_loss_step,validation F1 Score,validation_loss
0,49,,,,0.20370371639728546,,0.43016138672828674,,
0,99,,,,0.2666666805744171,,0.34549352526664734,,
0,149,,,,0.2074074149131775,,0.3152885437011719,,
0,199,,,,0.0714285746216774,,0.31509846448898315,,
0,249,,,,0.1411764770746231,,0.3395901024341583,,
0,278,,,,,,,0.0,0.31119388341903687
0,278,,,0.18230301141738892,,0.3770786225795746,,,
1,299,,,,0.17307692766189575,,0.3266631066799164,,
1,349,,,,0.3187165856361389,,0.3348957300186157,,
1,399,,,,0.32894736528396606,,0.24544590711593628,,
1,449,,,,0.33088237047195435,,0.2709505558013916,,
1,499,,,,0.19696968793869019,,0.30474579334259033,,
1,549,,,,0.38009047508239746,,0.292160302400589,,
1,557,,,,,,,0.31391414999961853,0.2851235866546631
1,557,,,0.23322182893753052,,0.31316250562667847,,,
2,599,,,,0.48235294222831726,,0.2748284637928009,,
2,649,,,,0.5036764740943909,,0.19581282138824463,,
2,699,,,,0.29411765933036804,,0.28633034229278564,,
2,749,,,,0.1975308656692505,,0.2995917797088623,,
2,799,,,,0.1111111119389534,,0.30978772044181824,,
2,836,,,,,,,0.33442428708076477,0.2751235067844391
2,836,,,0.28454697132110596,,0.2917118966579437,,,
3,849,,,,0.375,,0.25964897871017456,,
3,899,,,,0.3333333432674408,,0.3523368239402771,,
3,949,,,,0.1894736886024475,,0.3220656216144562,,
3,999,,,,0.5063939094543457,,0.2021341323852539,,
3,1049,,,,0.3815789222717285,,0.3059692978858948,,
3,1099,,,,0.43252596259117126,,0.2568872570991516,,
3,1115,,,,,,,0.3309886157512665,0.2590526342391968
3,1115,,,0.32785916328430176,,0.27730700373649597,,,
4,1149,,,,0.48929110169410706,,0.2238559126853943,,
4,1199,,,,0.31221720576286316,,0.2722291648387909,,
4,1249,,,,0.4847494661808014,,0.22538666427135468,,
4,1299,,,,0.5629629492759705,,0.2898435592651367,,
4,1349,,,,0.29019609093666077,,0.26951053738594055,,
4,1394,,,,,,,0.37735915184020996,0.249781534075737
4,1394,,,0.37297967076301575,,0.26919427514076233,,,
5,1399,,,,0.13333332538604736,,0.33478981256484985,,
5,1449,,,,0.2847222089767456,,0.2756580710411072,,
5,1499,,,,0.529411792755127,,0.2421637773513794,,
5,1549,,,,0.46022728085517883,,0.22129815816879272,,
5,1599,,,,0.508650541305542,,0.26232683658599854,,
5,1649,,,,0.40830448269844055,,0.20809520781040192,,
5,1673,,,,,,,0.47528743743896484,0.24355171620845795
