0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step
,,0.7388651371002197,,,0.7511393427848816,,,0.9777552485466003,,,0.9893341660499573,13,2421
,0.7344161868095398,,,0.7342490553855896,,,0.9875437021255493,,,0.991635262966156,,13,2421
,,0.7069131135940552,,,0.7382838129997253,,,0.9795542359352112,,,0.9894212484359741,14,2594
,0.7406527400016785,,,0.7316338419914246,,,0.9856271147727966,,,0.9945447444915771,,14,2594
,,0.7075797319412231,,,0.7342761754989624,,,0.9761289358139038,,,0.9884124994277954,15,2767
,0.7402631640434265,,,0.7361334562301636,,,0.9870702624320984,,,0.9945294857025146,,15,2767
,,0.7318007946014404,,,0.7456771731376648,,,0.9795542359352112,,,0.9884124994277954,16,2940
,0.7398919463157654,,,0.7435405254364014,,,0.9863966703414917,,,0.9963781237602234,,16,2940
,,0.7309035062789917,,,0.7501245141029358,,,0.9786520600318909,,,0.9884124994277954,17,3113
,0.7445855140686035,,,0.7398209571838379,,,0.9864287376403809,,,0.9945597648620605,,17,3113
,,0.7184817790985107,,,0.7456705570220947,,,0.9777552485466003,,,0.9884124994277954,18,3286
,0.7457167506217957,,,0.7397375106811523,,,0.9866523146629333,,,0.9949154257774353,,18,3286
,,0.7318007946014404,,,0.7472676634788513,,,0.975095808506012,,,0.9884124994277954,19,3459
,0.7443788051605225,,,0.7397835850715637,,,0.9871319532394409,,,0.9960213303565979,,19,3459
,,0.7327331900596619,,,0.7566839456558228,,,0.97686368227005,,,0.9884124994277954,20,3632
,0.7434126138687134,,,0.7407306432723999,,,0.9855926036834717,,,0.9956655502319336,,20,3632
,,0.6598615050315857,,,0.7053182721138,,,0.9759772419929504,,,0.9894212484359741,21,3805
,0.7428935766220093,,,0.7377514839172363,,,0.9882209300994873,,,0.9952320456504822,,21,3805
,,0.7256104946136475,,,0.7519476413726807,,,0.9804618954658508,,,0.987177312374115,22,3978
,0.7483981847763062,,,0.7465230822563171,,,0.9900966286659241,,,0.9956537485122681,,22,3978
,,0.7265214920043945,,,0.7387428283691406,,,0.975095808506012,,,0.9884124994277954,23,4151
,0.7442143559455872,,,0.7431369423866272,,,0.9877795577049255,,,0.995641827583313,,23,4151
,,0.7255569696426392,,,0.7483009099960327,,,0.9777552485466003,,,0.9884124994277954,24,4324
,0.7473225593566895,,,0.7448045611381531,,,0.9889571666717529,,,0.993834376335144,,24,4324
,,0.729150116443634,,,0.7533713579177856,,,0.9795542359352112,,,0.9884124994277954,25,4497
,0.7501978874206543,,,0.7448803782463074,,,0.9863641858100891,,,0.9952850937843323,,25,4497
,,0.7239891290664673,,,0.7348693013191223,,,0.975095808506012,,,0.9849335551261902,26,4670
,0.7533385753631592,,,0.7418434619903564,,,0.9900732040405273,,,0.9952720999717712,,26,4670
,,0.7264655828475952,,,0.7501006722450256,,,0.9795542359352112,,,0.9873949289321899,27,4843
,0.750762939453125,,,0.7378944754600525,,,0.9904295206069946,,,0.9970782995223999,,27,4843
,,0.6954398155212402,,,0.7264711260795593,,,0.9777552485466003,,,0.9884124994277954,28,5016
,0.7541117072105408,,,0.7465634942054749,,,0.9881927371025085,,,0.9974542260169983,,28,5016
,,0.6914455890655518,,,0.7427659630775452,,,0.9761289358139038,,,0.9884124994277954,29,5189
,0.7506309151649475,,,0.7523579597473145,,,0.9882488250732422,,,0.9971024990081787,,29,5189
,,0.6926611065864563,,,0.7274488806724548,,,0.975095808506012,,,0.9863683581352234,30,5362
,0.7602349519729614,,,0.7529680728912354,,,0.9904521703720093,,,0.997826874256134,,30,5362
,,0.7236275672912598,,,0.7468510866165161,,,0.975095808506012,,,0.9863683581352234,31,5535
,0.7525474429130554,,,0.7530863285064697,,,0.9889832735061646,,,0.9963781237602234,,31,5535
,,0.7198629379272461,,,0.7513182759284973,,,0.975095808506012,,,0.9884124994277954,32,5708
,0.7500213384628296,,,0.7477537393569946,,,0.9893379211425781,,,0.9967358708381653,,32,5708
,,0.7273324728012085,,,0.7492312788963318,,,0.9759772419929504,,,0.9894212484359741,33,5881
,0.7507807016372681,,,0.747756838798523,,,0.9904521703720093,,,0.997826874256134,,33,5881
,,0.6969400644302368,,,0.7264002561569214,,,0.9761289358139038,,,0.984003484249115,34,6054
,0.7535649538040161,,,0.7542017102241516,,,0.9908085465431213,,,0.997468113899231,,34,6054
,,0.7019307017326355,,,0.7320878505706787,,,0.97686368227005,,,0.9863683581352234,35,6227
,0.7561260461807251,,,0.7472928166389465,,,0.9890600442886353,,,0.9963681697845459,,35,6227
,,0.7310642600059509,,,0.7538570165634155,,,0.9752511978149414,,,0.987177312374115,36,6400
,0.7524697780609131,,,0.7573093771934509,,,0.9919018745422363,,,0.9963781237602234,,36,6400
,,0.7319672107696533,,,0.7507556080818176,,,0.975095808506012,,,0.9863683581352234,37,6573
,0.7624258399009705,,,0.753127932548523,,,0.9896933436393738,,,0.99891197681427,,37,6573
,,0.6910511255264282,,,0.7244589328765869,,,0.97686368227005,,,0.9894212484359741,38,6746
,0.7591581344604492,,,0.7496222853660583,,,0.9900966286659241,,,0.9981815814971924,,38,6746
,,0.7188127040863037,,,0.7511393427848816,,,0.9742192625999451,,,0.9875970482826233,39,6919
,0.7621350288391113,,,0.7545859217643738,,,0.9915438890457153,,,0.9981815814971924,,39,6919
0.7037705183029175,,,0.7295927405357361,,,0.9848548769950867,,,0.9904395341873169,,,40,6920
