0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step,test multilabel_f1_macro,test ranking_avg_precision,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,,0.4733581244945526,,,0.15938302874565125,,,0.8467153310775757,,,0.8849557638168335,0,172,,,,,,0.5911030769348145,0.4868294894695282,5.739930202253163e-06
,0.4822694957256317,,,0.5080713629722595,,,0.7318435907363892,,,0.6245614290237427,,0,172,,,0.5866864919662476,0.548804759979248,8.391562914766837e-06,,,
,,0.44415584206581116,,,0.6208425760269165,,,0.8529411554336548,,,0.9137930870056152,1,345,,,,,,0.7079331874847412,0.6525382995605469,5.696789685316617e-06
,0.6056572198867798,,,0.5951346755027771,,,0.8578680157661438,,,0.9289940595626831,,1,345,,,0.746913492679596,0.6825425624847412,5.524536391021684e-06,,,
,,0.6882591247558594,,,0.638054370880127,,,0.8613138794898987,,,0.885496199131012,2,518,,,,,,0.7682808637619019,0.7382662892341614,5.291553861752618e-06
,0.6319355964660645,,,0.6451612710952759,,,0.8702290058135986,,,0.9281437397003174,,2,518,,,0.7688674330711365,0.7255523204803467,5.2371678975760005e-06,,,
,,0.7896857261657715,,,0.5782312750816345,,,0.8591549396514893,,,0.8727272748947144,3,691,,,,,,0.7749497890472412,0.7935823798179626,4.879394055024022e-06
,0.6493399143218994,,,0.6382429003715515,,,0.8775510191917419,,,0.9239766001701355,,3,691,,,0.7722775936126709,0.7394965887069702,4.996247298549861e-06,,,
,,0.7605381011962891,,,0.638680636882782,,,0.8591549396514893,,,0.8721804618835449,4,864,,,,,,0.7826385498046875,0.7861589789390564,5.282925940264249e-06
,0.6677577495574951,,,0.6525862216949463,,,0.8855721354484558,,,0.9523809552192688,,4,864,,,0.7895742654800415,0.7547990083694458,4.715020168077899e-06,,,
,,0.6899302005767822,,,0.64420485496521,,,0.8472222089767456,,,0.9217391014099121,5,1037,,,,,,0.7757741212844849,0.7504789233207703,4.93072775498149e-06
,0.6609265804290771,,,0.6529563069343567,,,0.8911392688751221,,,0.9470587968826294,,5,1037,,,0.7880202531814575,0.7502716183662415,4.722768153442303e-06,,,
,,0.7700534462928772,,,0.6676217913627625,,,0.8740741014480591,,,0.9152542352676392,6,1210,,,,,,0.8067508935928345,0.8038793206214905,4.9442110139352735e-06
,0.6780349016189575,,,0.6594734787940979,,,0.8860759735107422,,,0.9285714030265808,,6,1210,,,0.7880389094352722,0.7554327845573425,4.680925940192537e-06,,,
,,0.796445906162262,,,0.6333333253860474,,,0.8695651888847351,,,0.8907563090324402,7,1383,,,,,,0.79752516746521,0.8012452125549316,4.77874436910497e-06
,0.6836569309234619,,,0.6634488701820374,,,0.8979591727256775,,,0.9349112510681152,,7,1383,,,0.794994056224823,0.7605940103530884,4.579890173772583e-06,,,
,,0.7657342553138733,,,0.6556473970413208,,,0.8714285492897034,,,0.9122806787490845,8,1556,,,,,,0.8012727499008179,0.7954980731010437,4.9082873374572955e-06
,0.6728444695472717,,,0.6570805907249451,,,0.8791773915290833,,,0.9467455744743347,,8,1556,,,0.7889620065689087,0.7585114240646362,4.543319391814293e-06,,,
,,0.7652789950370789,,,0.6345256567001343,,,0.8591549396514893,,,0.8928571343421936,9,1729,,,,,,0.7879542112350464,0.7835249304771423,4.930608156428207e-06
,0.6873239278793335,,,0.670152485370636,,,0.8977556228637695,,,0.9616519212722778,,9,1729,,,0.804220974445343,0.770282506942749,4.417664513312047e-06,,,
,,0.787162184715271,,,0.6333853602409363,,,0.8435373902320862,,,0.9137930870056152,10,1902,,,,,,0.7944694757461548,0.8014847040176392,4.8839146984391846e-06
,0.6845906972885132,,,0.6660816073417664,,,0.903553307056427,,,0.9467455744743347,,10,1902,,,0.8002427816390991,0.7681093811988831,4.398821602080716e-06,,,
,,0.73723304271698,,,0.6539440155029297,,,0.8472222089767456,,,0.9122806787490845,11,2075,,,,,,0.7876700162887573,0.7777777910232544,5.144172064319719e-06
,0.7055510878562927,,,0.6739414930343628,,,0.9195979833602905,,,0.9439527988433838,,11,2075,,,0.8107608556747437,0.7775262594223022,4.205840923532378e-06,,,
,,0.7690957188606262,,,0.6364921927452087,,,0.8613138794898987,,,0.8960000276565552,12,2248,,,,,,0.7907254695892334,0.7947797179222107,5.163632977200905e-06
,0.7008000016212463,,,0.6773912906646729,,,0.9187816977500916,,,0.970588207244873,,12,2248,,,0.816890299320221,0.7817819714546204,4.184816134511493e-06,,,
,,0.733208954334259,,,0.6443418264389038,,,0.8633093237876892,,,0.9122806787490845,13,2421,,,,,,0.7882851958274841,0.7626915574073792,5.167083600099431e-06
,0.7063491940498352,,,0.6749116778373718,,,0.9049999713897705,,,0.9649122953414917,,13,2421,,,0.8127933144569397,0.7871242165565491,4.16096054323134e-06,,,
,,0.7747589945793152,,,0.6487294435501099,,,0.8571428656578064,,,0.9230769276618958,14,2594,,,,,,0.8009270429611206,0.8022030591964722,4.773705313709797e-06
,0.6939912438392639,,,0.6757349967956543,,,0.9104859232902527,,,0.9495549201965332,,14,2594,,,0.807441771030426,0.773723304271698,4.190286290395306e-06,,,
,,0.4920828342437744,,,0.6044176816940308,,,0.8571428656578064,,,0.8682170510292053,15,2767,,,,,,0.7054650783538818,0.6872605085372925,6.152143669169163e-06
,0.694292426109314,,,0.6546924114227295,,,0.9200000166893005,,,0.9707602262496948,,15,2767,,,0.8099362850189209,0.7747192978858948,4.084494776179781e-06,,,
,,0.7676056623458862,,,0.6566347479820251,,,0.8613138794898987,,,0.8909090757369995,16,2940,,,,,,0.7941158413887024,0.797174334526062,5.208685252000578e-06
,0.7079010605812073,,,0.6768826842308044,,,0.9150000214576721,,,0.9764705896377563,,16,2940,,,0.8190635442733765,0.7870336771011353,4.00918224841007e-06,,,
,,0.8091728091239929,,,0.6526656150817871,,,0.8695651888847351,,,0.9166666865348816,17,3113,,,,,,0.812017560005188,0.8247126340866089,4.868848463956965e-06
,0.7111466526985168,,,0.6783522963523865,,,0.9141414165496826,,,0.9675516486167908,,17,3113,,,0.8177980184555054,0.78667151927948,3.927582383767003e-06,,,
,,0.7444853186607361,,,0.6490984559059143,,,0.8613138794898987,,,0.9122806787490845,18,3286,,,,,,0.7917945981025696,0.787595808506012,5.075540229881881e-06
,0.7033663392066956,,,0.6717352271080017,,,0.9230769276618958,,,0.9590643048286438,,18,3286,,,0.8143107295036316,0.781057596206665,4.097761575394543e-06,,,
,,0.6754032373428345,,,0.6493184566497803,,,0.8590604066848755,,,0.931034505367279,19,3459,,,,,,0.7787041664123535,0.75957852602005,5.346257694327505e-06
,0.7167721390724182,,,0.6808510422706604,,,0.9319899082183838,,,0.976331353187561,,19,3459,,,0.8264861106872559,0.792738139629364,3.882279543176992e-06,,,
,,0.7086914777755737,,,0.6551265120506287,,,0.8633093237876892,,,0.8807339668273926,20,3632,,,,,,0.776965320110321,0.7681992053985596,5.459700787469046e-06
,0.7173130512237549,,,0.6857646703720093,,,0.9172932505607605,,,0.9588235020637512,,20,3632,,,0.8197986483573914,0.7878485918045044,4.018364052171819e-06,,,
,,0.7873753905296326,,,0.6541244387626648,,,0.8529411554336548,,,0.9298245906829834,21,3805,,,,,,0.8060663938522339,0.803639829158783,5.107722699904116e-06
