0 test f1,0 train f1,0 val f1,1 test f1,1 train f1,1 val f1,2 test f1,2 train f1,2 val f1,3 test f1,3 train f1,3 val f1,epoch,step,test multilabel_f1_macro,test ranking_avg_precision,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,,0.5102781057357788,,,0.6020066738128662,,,0.8062015771865845,,,0.8301886916160583,0,172,,,,,,0.6871687769889832,0.6317049860954285,0.33902573585510254
,0.5515981912612915,,,0.5513561367988586,,,0.6811145544052124,,,0.4553571343421936,,0,172,,,0.5598565340042114,0.5856573581695557,0.36969709396362305,,,
,,0.625,,,0.6230303049087524,,,0.8507462739944458,,,0.8318583965301514,1,345,,,,,,0.7326587438583374,0.6877394914627075,0.3100389540195465
,0.6402361989021301,,,0.6327146887779236,,,0.8556700944900513,,,0.8407643437385559,,1,345,,,0.7423463463783264,0.6948569416999817,0.3096564710140228,,,
,,0.7629566788673401,,,0.6064318418502808,,,0.8251748085021973,,,0.852173924446106,2,518,,,,,,0.7616842985153198,0.7495210766792297,0.28333836793899536
,0.6635982990264893,,,0.6494755148887634,,,0.8781725764274597,,,0.8895705342292786,,2,518,,,0.7702042460441589,0.7194857001304626,0.29574835300445557,,,
,,0.7163053750991821,,,0.6336633563041687,,,0.8444444537162781,,,0.8620689511299133,3,691,,,,,,0.7641205191612244,0.7356321811676025,0.2863999307155609
,0.6748566627502441,,,0.6526867747306824,,,0.8822054862976074,,,0.9003021121025085,,3,691,,,0.777512788772583,0.730079710483551,0.2905848026275635,,,
,,0.5465252995491028,,,0.6204620599746704,,,0.8472222089767456,,,0.8780487775802612,4,864,,,,,,0.7230646014213562,0.6733716726303101,0.3233206272125244
,0.6708490252494812,,,0.6681146621704102,,,0.8743718862533569,,,0.9003021121025085,,4,864,,,0.7784094214439392,0.737957239151001,0.28935548663139343,,,
,,0.7094918489456177,,,0.6285714507102966,,,0.8472222089767456,,,0.8813559412956238,5,1037,,,,,,0.7666603326797485,0.7344348430633545,0.28629323840141296
,0.6931676864624023,,,0.6689774990081787,,,0.8753180503845215,,,0.9221556782722473,,5,1037,,,0.7899047136306763,0.7456537485122681,0.2791639268398285,,,
,,0.6659814715385437,,,0.643985390663147,,,0.835616409778595,,,0.8695651888847351,6,1210,,,,,,0.7537871599197388,0.7219827771186829,0.29698169231414795
,0.6880131363868713,,,0.6675519943237305,,,0.8928571343421936,,,0.9439527988433838,,6,1210,,,0.7980937957763672,0.7448388338088989,0.2774466276168823,,,
,,0.7240740656852722,,,0.6323529481887817,,,0.8529411554336548,,,0.8813559412956238,7,1383,,,,,,0.7726810574531555,0.7430555820465088,0.2784103751182556
,0.6915422677993774,,,0.6807047724723816,,,0.896039605140686,,,0.9464285969734192,,7,1383,,,0.8036788105964661,0.752173125743866,0.27636122703552246,,,
,,0.6923837661743164,,,0.6412037014961243,,,0.8550724387168884,,,0.875,8,1556,,,,,,0.7659149765968323,0.7265325784683228,0.29555633664131165
,0.6993409991264343,,,0.6716417670249939,,,0.8999999761581421,,,0.9418604373931885,,8,1556,,,0.8032107949256897,0.7541651725769043,0.27514660358428955,,,
,,0.7515364289283752,,,0.6308540105819702,,,0.8550724387168884,,,0.875,9,1729,,,,,,0.7781157493591309,0.7504789233207703,0.2767925262451172
,0.7009113430976868,,,0.6890536546707153,,,0.8967254161834717,,,0.9644970297813416,,9,1729,,,0.8127968907356262,0.759507417678833,0.2702135443687439,,,
,,0.7550130486488342,,,0.6105263233184814,,,0.8550724387168884,,,0.8983050584793091,10,1902,,,,,,0.7797292470932007,0.7545498013496399,0.273610383272171
,0.7053061127662659,,,0.6850393414497375,,,0.8999999761581421,,,0.9614243507385254,,10,1902,,,0.8129424452781677,0.7618616223335266,0.2686576247215271,,,
,,0.7384615540504456,,,0.6354609727859497,,,0.8652482032775879,,,0.8828828930854797,11,2075,,,,,,0.7805134057998657,0.7535919547080994,0.27565982937812805
,0.7021013498306274,,,0.6922745108604431,,,0.9017632007598877,,,0.9439527988433838,,11,2075,,,0.8100229501724243,0.7622238397598267,0.2667156755924225,,,
,,0.6884920597076416,,,0.6385695934295654,,,0.8529411554336548,,,0.904347836971283,12,2248,,,,,,0.771087646484375,0.7284482717514038,0.28941676020622253
,0.7159090638160706,,,0.690559446811676,,,0.9164556860923767,,,0.9498525261878967,,12,2248,,,0.8181942105293274,0.7674755454063416,0.26399222016334534,,,
,,0.7336956262588501,,,0.6345381736755371,,,0.835616409778595,,,0.8928571343421936,13,2421,,,,,,0.774176836013794,0.7514367699623108,0.27824172377586365
,0.7124183177947998,,,0.6990459561347961,,,0.9054726362228394,,,0.9560117125511169,,13,2421,,,0.8182371854782104,0.771550178527832,0.26512476801872253,,,
,,0.7387387156486511,,,0.6361031532287598,,,0.835616409778595,,,0.9059829115867615,14,2594,,,,,,0.779110312461853,0.7569444179534912,0.2749965786933899
,0.7084357142448425,,,0.6880415678024292,,,0.9191918969154358,,,0.9673590660095215,,14,2594,,,0.8207570910453796,0.7661173343658447,0.26374074816703796,,,
,,0.7055449485778809,,,0.6394736766815186,,,0.8571428656578064,,,0.8947368264198303,15,2767,,,,,,0.774224579334259,0.7394636273384094,0.2835530638694763
,0.7068965435028076,,,0.6982608437538147,,,0.9195979833602905,,,0.9649122953414917,,15,2767,,,0.8224169015884399,0.7681093811988831,0.2625724673271179,,,
,,0.760757327079773,,,0.6219512224197388,,,0.835616409778595,,,0.9059829115867615,16,2940,,,,,,0.781076967716217,0.7674808502197266,0.26998427510261536
,0.7059308290481567,,,0.6963739395141602,,,0.913705587387085,,,0.976331353187561,,16,2940,,,0.8230854272842407,0.7694675922393799,0.2619953155517578,,,
,,0.7515472769737244,,,0.6285714507102966,,,0.8652482032775879,,,0.886956512928009,17,3113,,,,,,0.7830808758735657,0.7617337107658386,0.27127015590667725
,0.7198380827903748,,,0.7027499079704285,,,0.9104477763175964,,,0.976331353187561,,17,3113,,,0.8273417949676514,0.7742665410041809,0.25751402974128723,,,
,,0.6569948196411133,,,0.6437869668006897,,,0.8613138794898987,,,0.9026548862457275,18,3286,,,,,,0.7661876082420349,0.7227011322975159,0.29919397830963135
,0.7055441737174988,,,0.695652186870575,,,0.9203979969024658,,,0.9764705896377563,,18,3286,,,0.824516236782074,0.7675660848617554,0.2619754672050476,,,
,,0.6639260053634644,,,0.652482271194458,,,0.8571428656578064,,,0.8907563090324402,19,3459,,,,,,0.7660768628120422,0.7262930870056152,0.2968198359012604
,0.7105262875556946,,,0.700564980506897,,,0.9191918969154358,,,0.9822485446929932,,19,3459,,,0.8281329274177551,0.7719123363494873,0.2562653422355652,,,
,,0.7282708287239075,,,0.6472222208976746,,,0.8633093237876892,,,0.8965517282485962,20,3632,,,,,,0.7838385105133057,0.7523946166038513,0.275971382856369
,0.703125,,,0.7068517208099365,,,0.9223057627677917,,,0.973607063293457,,20,3632,,,0.8264724016189575,0.772455632686615,0.25824689865112305,,,
,,0.6721144318580627,,,0.6483660340309143,,,0.8633093237876892,,,0.9059829115867615,21,3805,,,,,,0.7724431753158569,0.725814163684845,0.28797104954719543
,0.7327935099601746,,,0.7003071308135986,,,0.9346733689308167,,,0.9794721603393555,,21,3805,,,0.8368115425109863,0.7825063467025757,0.25680285692214966,,,
,,0.7441441416740417,,,0.6475409865379333,,,0.8551723957061768,,,0.8965517282485962,22,3978,,,,,,0.785852313041687,0.7598180174827576,0.27556025981903076
,0.7183271646499634,,,0.7078118324279785,,,0.9045225977897644,,,0.9851632118225098,,22,3978,,,0.8289561867713928,0.7768018841743469,0.25512251257896423,,,
,,0.6853147149085999,,,0.645476758480072,,,0.8529411554336548,,,0.8947368264198303,23,4151,,,,,,0.7696173787117004,0.7320402264595032,0.2925752103328705
,0.7300688028335571,,,0.7010398507118225,,,0.9253731369972229,,,0.9912023544311523,,23,4151,,,0.8369210362434387,0.779789924621582,0.2536470890045166,,,
,,0.7259259223937988,,,0.6413994431495667,,,0.8551723957061768,,,0.8983050584793091,24,4324,,,,,,0.780200719833374,0.7552682161331177,0.27564045786857605
,0.7153404355049133,,,0.7000435590744019,,,0.9131513833999634,,,0.9764705896377563,,24,4324,,,0.8262515068054199,0.7755342125892639,0.2558550536632538,,,
,,0.7376146912574768,,,0.6402349472045898,,,0.8551723957061768,,,0.8965517282485962,25,4497,,,,,,0.7823934555053711,0.756465494632721,0.27442505955696106
